1	1843	1358	11126	2	1	
1	1843	1358	11123	0	0	
1	1843	1358	11122	1	1	
1	1843	1358	11125	2	1	
1	1843	1358	11124	2	1	
1	1843	1358	11119	2	1	
1	1843	1358	11118	2	1	
1	1843	1358	11121	1	1	
1	1843	1358	11120	0	1	
1	1843	1358	11117	2	1	
2	106629	6779	52886	3	1	
2	106629	6779	52885	3	1	
2	106629	6779	52888	2	1	
2	106629	6779	52887	3	1	
2	106629	6779	52884	3	1	
2	106629	6779	52883	2	1	
2	106629	6779	52890	2	1	
2	106629	6779	52889	3	1	
2	106629	6779	52892	2	1	
2	106629	6779	52891	3	1	
3	3303	3335	26685	2	1	
3	3303	3335	26684	2	1	
3	3303	3335	26686	3	1	
3	3303	3335	26681	0	0	
3	3303	3335	26680	2	1	
3	3303	3335	26683	2	1	
3	3303	3335	26682	2	1	
3	3303	3335	26677	0	0	
3	3303	3335	26679	2	1	
3	3303	3335	26678	3	1	
4	48371	22721	172738	0	0	
4	48371	22721	172723	0	0	
4	48371	22721	172735	1	1	
4	48371	22721	172734	0	0	
4	48371	22721	172737	0	1	
4	48371	22721	172736	1	1	
4	48371	22721	172732	0	0	
4	48371	22721	172726	0	1	
4	48371	22721	172733	0	0	
4	48371	22721	172719	0	0	
5	20420	3669	4709	0	0	
5	20420	3669	29201	0	0	
5	20420	3669	29200	0	0	
5	20420	3669	29203	0	1	
5	20420	3669	29202	0	1	
5	20420	3669	4701	0	0	
5	20420	3669	4698	3	1	
5	20420	3669	29199	3	1	
5	20420	3669	29198	3	1	
5	20420	3669	4697	2	1	
