118361	3821	0	0	[467, 469, 468, 30354, 16829, 15, 4799, 30355, 15, 30363]	[12, 25, 0, 50, 71, 24, 28, 0, 22, 179]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
118361	59	0	0	[530, 531, 532, 533, 534, 15, 535, 536, 537, 538]	[395, 10, 0, 25, 25, 22, 0, 83, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
118362	15819	0	0	[120816, 120817, 120818, 120819, 120820, 120821, 120822, 120823, 120824, 120825]	[153, 0, 0, 170, 0, 0, 89, 27, 56, 56]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
118362	15819	0	0	[120816, 120817, 120818, 282718, 120819, 120820, 120821, 120822, 282719, 120823]	[153, 0, 0, 57, 170, 0, 0, 89, 0, 27]	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
118363	1926	0	0	[468, 467, 471, 469, 15646, 472, 15645, 4797, 473, 474]	[0, 12, 71, 25, 27, 0, 0, 25, 0, 71]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
118363	1926	0	0	[468, 467, 471, 469, 15646, 472, 15645, 4797, 473, 474]	[0, 12, 71, 25, 27, 0, 0, 25, 0, 71]	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
118364	588	0	0	[4022, 4015, 4840, 4027, 4022, 4018, 4019, 4023, 4841, 4022]	[226, 142, 0, 25, 25, 455, 64, 145, 192, 0]	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
118364	588	0	0	[4022, 4015, 4840, 4027, 4022, 4018, 4019, 4023, 4841, 4022]	[226, 142, 0, 25, 25, 455, 64, 145, 192, 0]	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
118365	2839	0	0	[48, 19906, 19907, 11672, 22771, 15, 22772, 22773, 19911, 22774]	[17, 25, 0, 23, 0, 22, 76, 25, 132, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
118365	24274	0	0	[24121, 129041, 129040, 158010, 24117, 158011, 24122, 158012, 15, 165067]	[25, 159, 25, 76, 25, 132, 25, 25, 22, 109]	[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]
118365	2839	0	0	[48, 19906, 19907, 11672, 22771, 15, 22772, 22773, 19911, 22774]	[17, 25, 0, 23, 0, 22, 76, 25, 132, 0]	[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]
